LGA_Name,State,Latitude,Longitude,mean_nightlight_intensity,MPI,Headcount_Ratio,Intensity_of_Deprivation,In_Severe_Poverty,population_density,health_facility_count,school_count,road_density_km,ndvi_mean,rainfall_mm,idp_count,food_price_index,composite_poverty_score,cluster,cluster_label,risk_level
Lamurde,Adamawa,9.6,11.78333333,0.026040733458105484,0.182,39.0971,46.545,15.2143,122.39986289753733,42.0,295.0,0.51,0.3860720693050682,1676.5730381451626,5982.0,0.0,0.18218534,1,High Risk - Severe Poverty,High
Madagali,Adamawa,10.74611111,13.41583333,0.0036781072540160937,0.182,39.0971,46.545,15.2143,122.39986289753735,55.0,295.0,0.51,0.4961631738627693,2497.1846517232457,17733.0,0.0,0.18249592,1,High Risk - Severe Poverty,High
Maiha,Adamawa,9.99555556,13.21805556,0.0009141346431643087,0.182,39.0971,46.545,15.2143,122.39986289753735,61.0,295.0,0.51,0.4631693881455815,1814.4142295907434,16985.0,0.0,0.18231285,1,High Risk - Severe Poverty,High
Mayo Belwa,Adamawa,9.05,12.05,0.10915908829493133,0.182,39.0971,46.545,15.2143,122.39986289753736,0.0,295.0,0.51,0.5692665362035224,2063.5031012685595,0.0,0.0,0.18186422,1,High Risk - Severe Poverty,High
Michika,Adamawa,10.61666667,13.38333333,0.0005010975291952491,0.182,39.0971,46.545,15.2143,122.39986289753733,94.0,295.0,0.51,0.4778415713590441,1751.0454483324709,23570.0,0.0,0.18245801,1,High Risk - Severe Poverty,High
Mubi North,Adamawa,10.26666667,13.26666667,0.024125938038859103,0.182,39.0971,46.545,15.2143,122.39986289753735,79.0,295.0,0.51,0.47256917890886396,2227.2170591395316,13030.0,0.0,0.18257359,1,High Risk - Severe Poverty,High
Mubi South,Adamawa,10.1874,13.39576,0.028857300343709303,0.182,39.0971,46.545,15.2143,122.39986289753736,70.0,295.0,0.51,0.3728910827740018,1277.2465761204246,7106.0,0.0,0.18151101,1,High Risk - Severe Poverty,High
Numan,Adamawa,9.46694444,12.03277778,0.0069057395228098,0.182,39.0971,46.545,15.2143,122.39986289753736,58.0,295.0,0.51,0.52664917234154,2275.457308241815,25255.0,0.0,0.18219475,1,High Risk - Severe Poverty,High
Shelleng,Adamawa,9.88472222,12.00888889,0.002044739559469487,0.182,39.0971,46.545,15.2143,122.39986289753733,59.0,295.0,0.51,0.46687583398775,1756.9570237339547,10458.0,0.0,0.18248263,1,High Risk - Severe Poverty,High
Song,Adamawa,9.82444444,12.625,0.001246881769491827,0.182,39.0971,46.545,15.2143,122.39986289753735,85.0,295.0,0.51,0.3393077525233403,911.299450004608,2184.0,0.0,0.18229261,1,High Risk - Severe Poverty,High
