LGA_Name,State,Latitude,Longitude,Cluster_Label,Risk_Level
Southern Ijaw,Bayelsa,4.7,5.966667,0,High
Yenagoa,Bayelsa,5.03333333,6.33333333,0,High
Ado,Benue,7.8,7.65,0,High
Agatu,Benue,7.9,7.9,0,High
Apa,Benue,7.829754,8.069994,0,High
Buruku,Benue,7.416792,9.224674,0,High
Gboko,Benue,7.327778,8.995,0,High
Guma,Benue,7.823295,8.863239,0,High
Gwer East,Benue,7.298066,8.482303,0,High
Gwer West,Benue,7.584645,8.205478,0,High
Katsina Ala,Benue,7.16666667,9.28333333,0,High
Konshisha,Benue,7.071123,8.663878,0,High
Kwande,Benue,6.890043,9.233408,0,High
Logo,Benue,7.507748,9.350653,0,High
Makurdi,Benue,7.730556,8.536111,0,High
Obi,Benue,7.0,8.25,0,High
Ogbadibo,Benue,7.13907,7.668285,0,High
Ohimini,Benue,7.23015,7.927993,0,High
Oju,Benue,6.85,8.41666667,0,High
Okpokwu,Benue,7.06277778,8.21,0,High
Otukpo,Benue,7.19305556,8.14638889,0,High
Tarka,Benue,7.620833,8.881944,0,High
Ukum,Benue,7.530801,9.649268,0,High
Ushongo,Benue,7.135788,9.032921,0,High
Vandeikya,Benue,6.782346,9.069257,0,High
Abadam,Borno,13.610953,13.277664,0,High
Askira/Uba,Borno,10.654724,12.907777,0,High
Bama,Borno,11.51888889,13.68416667,0,High
Bayo,Borno,10.441838,11.704237,0,High
Biu,Borno,10.6111,12.195,0,High
Chibok,Borno,10.86972222,12.84666667,0,High
Damboa,Borno,11.15,12.75,0,High
Dikwa,Borno,12.0239,13.9158,0,High
Gubio,Borno,12.4975,12.78,0,High
Guzamala,Borno,12.94656,13.176822,0,High
Gwoza,Borno,11.086111,13.691389,0,High
Hawul,Borno,10.451308,12.116581,0,High
Jere,Borno,11.89912,13.29155,0,High
Kaga,Borno,11.810333,12.494153,0,High
Kala/Balge,Borno,12.268627,14.464896,0,High
Konduga,Borno,11.65166667,13.41944444,0,High
Kukawa,Borno,12.91666667,13.56666667,0,High
Kwaya Kusar,Borno,11.817338,13.120352,0,High
Mafa,Borno,11.92583333,13.60555556,0,High
Magumeri,Borno,12.115657,12.83101,0,High
Maiduguri,Borno,11.83333333,13.15,0,High
Marte,Borno,12.364596,13.826741,0,High
Mobbar,Borno,13.103993,12.511041,0,High
Monguno,Borno,12.68333333,13.6,0,High
Ngala,Borno,12.371107,14.206223,0,High
Nganzai,Borno,12.486253,13.209321,0,High
Shani,Borno,10.183889,11.963889,0,High
Abi,Cross River,6.833333,7.233333,0,High
Akamkpa,Cross River,5.326828,8.346262,0,High
Akpabuyo,Cross River,4.950439,8.393276,0,High
Bakassi,Cross River,4.58333333,8.6,0,High
Bekwarra,Cross River,6.69388889,8.9675,0,High
Biase,Cross River,5.557438,8.110474,0,High
Boki,Cross River,6.273889,9.01,0,High
Calabar Municipal,Cross River,4.974531,8.34241,0,High
Calabar South,Cross River,4.918822,8.320945,0,High
Etung,Cross River,5.858889,8.791667,0,High
Ikom,Cross River,6.08333333,8.61666667,0,High
Obanliku,Cross River,6.609277,9.250274,0,High
Obubra,Cross River,6.083333,8.333333,0,High
Obudu,Cross River,6.66666667,9.16666667,0,High
Odukpani,Cross River,5.079809,8.350403,0,High
Ogoja,Cross River,6.5,8.66666667,0,High
Yakurr,Cross River,5.806111,8.175,0,High
Yala,Cross River,6.7,8.6,0,High
Aniocha North,Delta,6.319994,6.476847,0,High
Aniocha South,Delta,6.183072,6.524367,0,High
Bomadi,Delta,5.161805,5.924511,0,High
Burutu,Delta,5.35,5.516667,0,High
Ethiope East,Delta,5.63314,6.028192,0,High
Ethiope West,Delta,5.63314,6.028192,0,High
Ika North East,Delta,6.186379,6.200409,0,High
Ika South,Delta,6.252758,6.199664,0,High
Isoko North,Delta,5.538333,6.216111,0,High
Isoko South,Delta,5.538333,6.216111,0,High
Ndokwa East,Delta,5.669319,6.523171,0,High
Ndokwa West,Delta,5.815022,6.350772,0,High
Okpe,Delta,5.43333333,5.95,0,High
Oshimili North,Delta,6.382652,6.624309,0,High
Oshimili South,Delta,6.118256,6.66583,0,High
Patani,Delta,5.2412505830419045,6.190626760617503,0,High
Sapele,Delta,5.9,5.66666667,0,High
Udu,Delta,5.75,5.716667,0,High
Ughelli North,Delta,9.75,8.71666667,0,High
Ughelli South,Delta,9.75,8.71666667,0,High
Ukwuani,Delta,5.850198,6.246481,0,High
Uvwie,Delta,5.87,6.001,0,High
Warri North,Delta,6.000089,5.466481,0,High
Warri South,Delta,5.519063,5.800606,0,High
Warri South West,Delta,5.599713,5.454881,0,High
Abakaliki,Ebonyi,6.33333333,8.1,0,High
Afikpo North,Ebonyi,5.887936,7.953071,0,High
Afikpo South,Ebonyi,5.96666667,7.86666667,0,High
Ebonyi,Ebonyi,6.25,8.08333333,0,High
Ezza North,Ebonyi,6.081572,7.995858,0,High
Ezza South,Ebonyi,6.177757,8.040377,0,High
Ishielu,Ebonyi,6.428567,7.818371,0,High
Ivo,Ebonyi,5.919317,7.55976,0,High
Izzi,Ebonyi,6.385765,8.02549,0,High
Ohaozara,Ebonyi,6.030218,7.71407,0,High
Ohaukwu,Ebonyi,6.030218,7.71407,0,High
Onicha,Ebonyi,6.11252,7.825484,0,High
Ikwo,Ebonyi,12.473,7.487,0,High
Akoko Edo,Edo,7.275622,6.107379,0,High
Egor,Edo,6.382926,5.569175,0,High
Esan Central,Edo,6.738727,6.218905,0,High
Esan North East,Edo,6.7,6.333333,0,High
Esan South East,Edo,6.659722,6.382222,0,High
Esan West,Edo,6.753472,6.073766,0,High
Etsako Central,Edo,7.08965,6.50146,0,High
Etsako East,Edo,7.106769,6.687541,0,High
Etsako West,Edo,6.913601,6.29955,0,High
Igueben,Edo,6.6,6.58333333,0,High
Ikpoba Okha,Edo,6.256981,5.722929,0,High
Oredo,Edo,6.183772,5.596106,0,High
Orhionmwon,Edo,6.294568,6.027932,0,High
Ovia North East,Edo,6.29312,5.543304,0,High
Ovia South West,Edo,6.567402,5.353142,0,High
Owan East,Edo,6.943126,5.985832,0,High
Owan West,Edo,6.907245,5.924599,0,High
Uhunmwonde,Edo,6.617483,5.985682,0,High
Ado-Ekiti,Ekiti,7.621111,5.221389,0,High
Efon,Ekiti,7.36666667,3.63333333,0,High
Ekiti East,Ekiti,7.749096,5.719633,0,High
Ekiti South West,Ekiti,7.617082,5.24349,0,High
Ekiti West,Ekiti,7.657723,5.223741,0,High
Emure,Ekiti,7.45,5.46667,0,High
Gbonyin,Ekiti,7.621623,5.239016,0,High
Ido-Osi,Ekiti,7.856505,5.175537,0,High
Ijero,Ekiti,7.81667,5.08333,0,High
Ikere,Ekiti,7.5,5.23333,0,High
Ikole,Ekiti,7.78333333,5.51666667,0,High
Ilejemeje,Ekiti,7.953263,5.230908,0,High
Irepodun/Ifelodun,Ekiti,7.621111,5.221389,0,High
Ise/Orun,Ekiti,7.46,5.42,0,High
Moba,Ekiti,7.987774,5.124049,0,High
Oye,Ekiti,7.79944444,5.32833333,0,High
Aninri,Enugu,6.05,7.58333333,0,High
Awgu,Enugu,6.1169,7.476,0,High
Enugu East,Enugu,6.53333,7.53333,0,High
Enugu North,Enugu,6.46666667,7.51666667,0,High
Enugu South,Enugu,6.4,7.5,0,High
Ezeagu,Enugu,6.75,7.33333333,0,High
Igbo Etiti,Enugu,6.66667,7.36667,0,High
Igbo Eze North,Enugu,6.98333,7.45,0,High
Igbo Eze South,Enugu,6.91667,7.4,0,High
Isi-Uzo,Enugu,6.78333333,7.71666667,0,High
Nkanu East,Enugu,6.33333333,7.65,0,High
Nkanu West,Enugu,6.3,7.55,0,High
Nsukka,Enugu,6.85666667,7.39583333,0,High
Oji-River,Enugu,6.26666667,7.26666667,0,High
Udenu,Enugu,6.91667,7.51667,0,High
Udi,Enugu,6.31667,7.43333,0,High
Uzo-Uwani,Enugu,6.75,7.2,0,High
Abaji,Federal Capital Territory,8.475556,6.943333,0,High
Abuja,Federal Capital Territory,9.06666667,7.48333333,0,High
Bwari,Federal Capital Territory,9.280278,7.38,0,High
Gwagwalada,Federal Capital Territory,8.939167,7.075833,0,High
Kuje,Federal Capital Territory,8.88222222,7.22027778,0,High
Kwali,Federal Capital Territory,8.839722,7.054167,0,High
Akko,Gombe,10.10706761352457,11.041261362116334,0,High
Balanga,Gombe,9.96666667,11.68333333,0,High
Billiri,Gombe,9.83333333,11.15,0,High
Dukku,Gombe,10.81666667,10.76666667,0,High
Funakaye,Gombe,10.85,11.43333333,0,High
Gombe,Gombe,10.28333333,11.16666667,0,High
Kaltungo,Gombe,9.88333333,11.43333333,0,High
Kwami,Gombe,10.5,11.25,0,High
Nafada,Gombe,11.1333,11.25,0,High
Shongom,Gombe,9.65,11.2167,0,High
Yamaltu/Deba,Gombe,10.2167,11.3833,0,High
Aboh Mbaise,Imo,5.45,7.23333333,0,High
Ahiazu Mbaise,Imo,5.546985,7.270299,0,High
Ehime Mbano,Imo,5.66258,7.30387,0,High
Ezinihitte Mbaise,Imo,5.50511,7.367715,0,High
Ideato North,Imo,5.50511,7.367715,0,High
Ideato South,Imo,5.85,7.1,0,High
Ihitte/Uboma,Imo,5.616412,7.349424,0,High
Ikeduru,Imo,5.550556,7.066389,0,High
Isiala Mbano,Imo,5.703582,7.179541,0,High
Isu,Imo,5.68388889,7.06888889,0,High
Mbaitoli,Imo,5.587778,7.05,0,High
Ngor Okpala,Imo,5.496233,7.043545,0,High
Njaba,Imo,5.702103,7.018633,0,High
Nkwerre,Imo,5.75,7.1,0,High
Nwangele,Imo,5.725859,7.119447,0,High
Obowo,Imo,5.601592,7.320757,0,High
Oguta,Imo,5.71166667,6.80944444,0,High
Ohaji/Egbema,Imo,5.305833,6.945556,0,High
Okigwe,Imo,5.483,7.55,0,High
Onuimo,Imo,5.77363,7.2411,0,High
Orlu,Imo,5.79638889,7.03888889,0,High
Orsu,Imo,5.853889,6.86,0,High
Oru East,Imo,5.983333,6.983333,0,High
Oru West,Imo,5.735833,6.883333,0,High
Owerri Municipal,Imo,5.485,7.035,0,High
Owerri North,Imo,5.456667,7.102778,0,High
Owerri West,Imo,5.476513,6.979718,0,High
Auyo,Jigawa,12.36,9.98555556,1,Very High
Babura,Jigawa,12.63333333,8.96666667,1,Very High
Biriniwa,Jigawa,12.7833,10.2333,1,Very High
Birnin Kudu,Jigawa,11.45,9.475,1,Very High
Buji,Jigawa,11.66371,9.730518,1,Very High
Dutse,Jigawa,11.70111111,9.34194444,1,Very High
Gagarawa,Jigawa,12.407564,9.528397,1,Very High
Garki,Jigawa,12.432259,9.181244,1,Very High
Gumel,Jigawa,12.62833333,9.38972222,1,Very High
Guri,Jigawa,12.633757685656764,10.481106764515644,1,Very High
Gwaram,Jigawa,11.185833,9.968611,1,Very High
Gwiwa,Jigawa,12.736914,8.271095,1,Very High
Hadejia,Jigawa,12.45,10.04,1,Very High
Jahun,Jigawa,12.06666667,9.63333333,1,Very High
Kafin Hausa,Jigawa,11.981763,8.496467,1,Very High
Kaugama,Jigawa,12.4833,9.73333,1,Very High
Kazaure,Jigawa,12.6528,8.41194,1,Very High
Kiri Kasama,Jigawa,12.594408,10.214753,1,Very High
Kiyawa,Jigawa,11.78472222,9.60833333,1,Very High
Maigatari,Jigawa,12.804038,9.448007,1,Very High
Malam Madori,Jigawa,12.554071,10.028136,1,Very High
Miga,Jigawa,12.23333333,9.71666667,1,Very High
Ringim,Jigawa,12.28333333,9.46666667,1,Very High
Roni,Jigawa,12.566481,8.347088,1,Very High
Sule Tankarkar,Jigawa,12.65577,9.18751,1,Very High
Taura,Jigawa,12.2724893,9.36241882485775,1,Very High
Yankwashi,Jigawa,12.743623,8.53892,1,Very High
Birnin Gwari,Kaduna,10.6667,6.55,0,High
Chikun,Kaduna,10.285059,7.110283,0,High
Giwa,Kaduna,11.280784,7.417606,0,High
Igabi,Kaduna,10.78333333,7.76666667,0,High
Ikara,Kaduna,11.1833,8.23333,0,High
Jaba,Kaduna,9.44818,8.00845,0,High
Jema'a,Kaduna,9.578827,8.292147,0,High
Kachia,Kaduna,9.872636,7.955089,0,High
Kaduna North,Kaduna,9.923174,7.430551,0,High
Kaduna South,Kaduna,10.464834,7.418024,0,High
Kagarko,Kaduna,9.45,7.68333333,0,High
Kajuru,Kaduna,9.489736,7.695075,0,High
Kaura,Kaduna,9.630686,8.503075,0,High
Kauru,Kaduna,10.65,8.15,0,High
Kubau,Kaduna,10.96289,8.392213,0,High
Kudan,Kaduna,11.26478,7.648952,0,High
Lere,Kaduna,10.416589,8.681673,0,High
Makarfi,Kaduna,11.29795,7.96917,0,High
